time;answer;real;error;
2.99999999999999988898e-01;5.99999999999999866773e-01;5.99999999999999977796e-01;1.11022302462515654042e-16;
2.99999999999999988898e-01;1.05000000000000000000e+01;1.05000000000000000000e+01;0.00000000000000000000e+00;
2.99999999999999988898e-01;2.03999999999999985789e+01;2.03999999999999985789e+01;0.00000000000000000000e+00;
2.99999999999999988898e-01;3.02999999999999936051e+01;3.02999999999999971578e+01;3.55271367880050092936e-15;
2.99999999999999988898e-01;1.05000000000000000000e+01;1.05000000000000000000e+01;0.00000000000000000000e+00;
2.99999999999999988898e-01;2.05977313432835842377e+01;2.03999999999999985789e+01;1.97731343283585658810e-01;
2.99999999999999988898e-01;3.07341492537313527578e+01;3.02999999999999971578e+01;4.34149253731355599939e-01;
2.99999999999999988898e-01;4.01999999999999886313e+01;4.01999999999999957367e+01;7.10542735760100185871e-15;
2.99999999999999988898e-01;2.03999999999999985789e+01;2.03999999999999985789e+01;0.00000000000000000000e+00;
2.99999999999999988898e-01;3.07341492537313456523e+01;3.02999999999999971578e+01;4.34149253731348494512e-01;
2.99999999999999988898e-01;4.08705671641790999615e+01;4.01999999999999957367e+01;6.70567164179104224786e-01;
2.99999999999999988898e-01;5.01000000000000227374e+01;5.01000000000000014211e+01;2.13162820728030055761e-14;
2.99999999999999988898e-01;3.03000000000000007105e+01;3.02999999999999971578e+01;3.55271367880050092936e-15;
2.99999999999999988898e-01;4.01999999999999815259e+01;4.01999999999999957367e+01;1.42108547152020037174e-14;
2.99999999999999988898e-01;5.01000000000000085265e+01;5.01000000000000014211e+01;7.10542735760100185871e-15;
2.99999999999999988898e-01;6.00000000000000071054e+01;6.00000000000000000000e+01;7.10542735760100185871e-15;
time;answer;real;error;
5.99999999999999977796e-01;1.19999999999999995559e+00;1.19999999999999995559e+00;0.00000000000000000000e+00;
5.99999999999999977796e-01;2.10000000000000000000e+01;2.10000000000000000000e+01;0.00000000000000000000e+00;
5.99999999999999977796e-01;4.07999999999999900524e+01;4.07999999999999971578e+01;7.10542735760100185871e-15;
5.99999999999999977796e-01;6.05999999999999943157e+01;6.05999999999999943157e+01;0.00000000000000000000e+00;
5.99999999999999977796e-01;2.10000000000000000000e+01;2.10000000000000000000e+01;0.00000000000000000000e+00;
5.99999999999999977796e-01;4.17837173546392008916e+01;4.07999999999999971578e+01;9.83717354639203733768e-01;
